,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,people_vaccinated,total_tests,icu_patients,hosp_patients,median_age,trends_covid,trends_vaccine
120,120,5116192,336459,1945030,2834703,106644.0,4662.0,51220.0,50762.0,0.06576356008531345,0.38017142437187657,528579.1099999994,0.0,52996747.0,5889.0,48381.0,30.301685393258417,60.0,10.0
121,121,5222613,341706,2053577,2827330,106421.0,5247.0,108547.0,-7373.0,0.0654281678539076,0.3932087252109241,620222.2599999985,0.0,53613946.0,5888.0,47403.0,30.301685393258417,56.0,10.0
122,122,5327418,345629,2108411,2873378,104805.0,3923.0,54834.0,46048.0,0.06487739464033046,0.3957660164830317,590488.3400000015,0.0,55031315.0,5686.0,46211.0,30.301685393258417,52.0,9.0
123,123,5421629,348643,2163938,2909048,94211.0,3014.0,55527.0,35670.0,0.06430594937425634,0.39913059340652046,504344.6100000007,0.0,59175414.0,5564.0,45895.0,30.301685393258417,52.0,9.0
124,124,5508346,349855,2227667,2930824,86717.0,1212.0,63729.0,21776.0,0.0635136209671651,0.4044166797074839,504744.2400000003,0.0,57824674.0,5448.0,44690.0,30.301685393258417,55.0,8.0
125,125,5602313,354097,2282819,2965397,93967.0,4242.0,55152.0,34573.0,0.0632055010135992,0.40747794705508245,520226.19000000163,0.0,58907188.0,5201.0,43749.0,30.301685393258417,59.0,8.0
126,126,5705075,359152,2346146,2999777,102762.0,5055.0,63327.0,34380.0,0.06295307248370968,0.41123841492004926,525982.5700000008,0.0,59613467.0,4803.0,42353.0,30.301685393258417,57.0,8.0
127,127,5824358,363710,2413009,3047639,119283.0,4558.0,66863.0,47862.0,0.062446367479471555,0.41429613358244805,541163.7700000001,0.0,63400205.0,4779.0,40763.0,30.301685393258417,54.0,8.0
128,128,5945261,368318,2490274,3086669,120903.0,4608.0,77265.0,39030.0,0.06195152744345454,0.41886706067235735,623325.020000001,0.0,63874931.0,4619.0,39119.0,30.301685393258417,54.0,7.0
129,129,6081776,372342,2560724,3148710,136515.0,4024.0,70450.0,62041.0,0.06122257708932391,0.421048719979164,619149.9999999998,0.0,65368379.0,4461.0,37956.0,30.301685393258417,47.0,7.0
130,130,6188184,375032,2637108,3176044,106408.0,2690.0,76384.0,27334.0,0.06060453276761001,0.4261521635426484,514930.68000000145,0.0,71517333.0,4398.0,37389.0,30.3826815642458,47.0,7.0
131,131,6284178,378105,2692033,3214040,95994.0,3073.0,54925.0,37996.0,0.060167773732698215,0.42838267789359247,541677.0300000003,0.0,68714679.0,4340.0,37123.0,30.301685393258417,51.0,7.0
132,132,6406143,382782,2796145,3227216,121965.0,4677.0,104112.0,13176.0,0.059752334595090995,0.43647870489310026,545327.0999999986,0.0,69827800.0,4250.0,36435.0,30.301685393258417,51.0,7.0
133,133,6520382,388215,2875236,3256931,114239.0,5433.0,79091.0,29715.0,0.05953868960438208,0.44096128110285565,551331.2899999986,0.0,71235514.0,3968.0,35068.0,30.301685393258417,50.0,7.0
134,134,6651336,393247,2945306,3312783,130954.0,5032.0,70070.0,55852.0,0.05912300927212217,0.44281419552402707,579027.369999999,0.0,75757685.0,3631.0,33960.0,30.301685393258417,50.0,7.0
135,135,6782559,397828,3014471,3370260,131223.0,4581.0,69165.0,57477.0,0.058654557962562505,0.4444444935901037,667526.5000000013,0.0,74966685.0,3611.0,32898.0,30.301685393258417,49.0,7.0
136,136,6916296,401598,3086675,3428023,133737.0,3770.0,72204.0,57763.0,0.0580654731954792,0.44629018191239933,672333.1599999991,0.0,76559432.0,3478.0,31808.0,30.301685393258417,46.0,7.0
